Rating (Stars),Number of Reviews,Current MRP,Free Delivery,Brand,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
4.4,363.0,139900.0,0,apple,512.0,Blue Titanium,0,164900,15.0,6.0
4.5,5729.0,55990.0,0,apple,128.0,Purple,100,69600,20.0,6.0
4.5,31459.0,45490.0,0,apple,128.0,Starlight,1000,59900,24.0,4.0
4.5,31459.0,45490.0,0,apple,128.0,Midnight,1000,59600,24.0,4.0
4.5,31459.0,45490.0,0,apple,128.0,Pink,500,59900,24.0,4.0
4.5,31459.0,45490.0,0,apple,128.0,Blue,500,59600,24.0,4.0
4.5,5729.0,52990.0,0,apple,128.0,Midnight,300,69600,24.0,6.0
4.5,31459.0,45490.0,0,apple,128.0,Green,500,59600,24.0,4.0
4.5,2431.0,64900.0,0,apple,128.0,Blue,500,79600,18.0,6.0
4.5,2431.0,64900.0,0,apple,128.0,Black,500,79600,18.0,6.0
4.4,306.0,119900.0,0,apple,256.0,White Titanium,200,159900,25.0,6.0
4.6,1091.0,69900.0,0,apple,128.0,Black,400,89600,22.0,6.0
4.5,5729.0,55990.0,0,apple,128.0,Blue,100,69600,20.0,6.0
4.5,31459.0,54999.0,1,apple,256.0,Starlight,500,69900,21.0,4.0
4.5,31459.0,54999.0,1,apple,256.0,Midnight,500,69600,21.0,4.0
4.5,2431.0,64900.0,1,apple,128.0,Pink,200,79600,18.0,6.0
4.5,2431.0,75900.0,1,apple,256.0,Blue,300,89600,15.0,6.0
4.5,5729.0,54900.0,1,apple,128.0,Starlight,100,69600,21.0,6.0
4.5,2072.0,59900.0,1,apple,128.0,Starlight,50,79600,25.0,6.0
4.6,1091.0,69900.0,1,apple,128.0,Green,200,79900,13.0,6.0
4.5,2431.0,77490.0,1,apple,256.0,Black,200,89600,14.0,6.0
4.5,2431.0,74900.0,0,apple,256.0,Pink,200,89600,16.0,6.0
4.5,31459.0,54999.0,0,apple,256.0,Pink,400,69900,21.0,4.0
4.3,76.0,128900.0,0,apple,256.0,Black Titanium,50,159900,19.0,6.0
4.5,2431.0,87900.0,0,apple,512.0,Yellow,0,109900,20.0,6.0
4.5,2072.0,59900.0,0,apple,128.0,Midnight,0,79600,25.0,6.0
4.4,306.0,140900.0,0,apple,512.0,Natural Titanium,0,179900,22.0,6.0
4.4,306.0,130900.0,1,apple,256.0,Blue Titanium,0,159900,18.0,6.0
4.5,2431.0,75900.0,1,apple,256.0,Yellow,0,89900,16.0,6.0
4.6,1091.0,87900.0,1,apple,256.0,Black,50,99600,12.0,6.0
4.5,5729.0,66900.0,1,apple,256.0,Midnight,0,79600,16.0,6.0
4.4,306.0,128900.0,1,apple,256.0,Natural Titanium,0,154000,16.0,6.0
4.5,5729.0,76900.0,1,apple,512.0,Starlight,0,99900,23.0,6.0
4.5,2431.0,88900.0,1,apple,512.0,Black,0,109900,19.0,6.0
4.5,31459.0,73999.0,1,apple,512.0,Midnight,0,89900,18.0,4.0
4.5,5729.0,54900.0,1,apple,128.0,Yellow,0,79900,31.0,6.0
4.5,2072.0,72900.0,1,apple,256.0,Blue,0,99900,27.0,6.0
4.1,3398.0,19999.0,0,oneplus,128.0,Silver,5000,20999,5.0,8.0
4.2,5398.0,16999.0,0,oneplus,128.0,Black,5000,26999,37.0,8.0
4.1,3398.0,19999.0,0,oneplus,128.0,Blue,4000,20999,5.0,8.0
4.2,6216.0,24999.0,0,oneplus,128.0,Black,2000,24999.0,0.0,8.0
4.2,59050.0,15690.0,0,oneplus,128.0,Black,1000,19999,22.0,8.0
4.2,59050.0,15679.0,0,oneplus,128.0,Gray,2000,19999,22.0,8.0
4.1,3398.0,19999.0,0,oneplus,128.0,Black,1000,20999,5.0,8.0
4.1,3398.0,21499.0,0,oneplus,256.0,Silver,500,23999,10.0,8.0
4.3,3529.0,40999.0,0,oneplus,256.0,Gray,1000,45999,11.0,16.0
4.2,1686.0,32999.0,0,oneplus,256.0,Green,1000,32999.0,0.0,8.0
4.2,6216.0,26999.0,0,oneplus,256.0,Black,2000,26999.0,0.0,8.0
