Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,673",2K+ bought in past month,74990,₹149999,(50% off),No
"realme GT 7 Pro (Mars Orange,12GB+256GB) | India's First Snapdragon 8 Elite Processor | RealWorld Eco² OLED Plus Display | 5800mAh Battery",N/A,N/A,50+ bought in past month,59999,₹69999,(14% off),No
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium",4.1,13,100+ bought in past month,144900,N/A,N/A,No
Apple iPhone 15 (256 GB) - Black,4.5,"2,436",100+ bought in past month,77490,₹89600,(14% off),No
Apple iPhone 14 Plus (128 GB) - Midnight,4.5,"2,072",50+ bought in past month,59900,₹79600,(25% off),No
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium",5.0,9,200+ bought in past month,144900,₹144990,N/A,No
Original Mobile Phone 6 Silver 64GB Compatible for i-Phone with Warranty,N/A,N/A,M.R.P:,13999,₹29999,(53% off),No
Apple iPhone 15 Plus (128 GB) - Pink,4.6,"1,092",100+ bought in past month,69900,₹89600,(22% off),No
Apple iPhone 15 (256 GB) - Pink,4.5,"2,436",200+ bought in past month,74900,₹89600,(16% off),No
Apple iPhone 15 Pro Max (256 GB) - Black Titanium,4.3,76,50+ bought in past month,128900,₹159900,(19% off),No
Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,4.4,307,50+ bought in past month,128900,₹154000,(16% off),No
Apple iPhone 15 Pro Max (512 GB) - Natural Titanium,4.4,307,M.R.P:,140900,₹179900,(22% off),No
"iPhone 16 Pro Max 1 TB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium",4.0,3,N/A,184900,N/A,N/A,No
"iPhone 16 126 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultrmarine",4.1,67,100+ bought in past month,85900,₹89900,(4% off),No
"iPhone 16 126 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",4.1,67,100+ bought in past month,85900,₹89900,(4% off),No
Apple iPhone 15 (512 GB) - Yellow,4.5,"2,436",M.R.P:,87900,₹109900,(20% off),No
Apple iPhone 13 (256GB) - (Product) RED,4.5,"31,476",50+ bought in past month,54999,₹69600,(21% off),No
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",4.1,67,100+ bought in past month,95900,₹99900,(4% off),No
