Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,673",2K+ bought in past month,74990,₹149999,(50% off),No
"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"5,180",400+ bought in past month,20499,₹27499,(25% off),No
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",4.1,"3,414",5K+ bought in past month,19999,₹20999,(5% off),No
"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",4.2,"5,407",5K+ bought in past month,16999,₹26999,(37% off),No
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",4.2,"59,077",2K+ bought in past month,15895,₹19999,(21% off),No
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",4.1,"3,414",4K+ bought in past month,19999,₹20999,(5% off),No
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",4.2,"59,077",1K+ bought in past month,15999,₹19999,(20% off),No
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 128GB Storage)",4.2,"6,226",2K+ bought in past month,24999,N/A,N/A,No
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)",4.2,"6,226",2K+ bought in past month,24999,N/A,N/A,No
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)",4.1,"3,414",1K+ bought in past month,19999,₹20999,(5% off),No
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",4.3,"3,538",1K+ bought in past month,40999,₹45999,(11% off),No
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)",4.2,"1,694",1K+ bought in past month,32999,N/A,N/A,No
"OnePlus 12R (Sunset Dune, 8GB RAM, 256GB Storage)",4.3,"3,538",500+ bought in past month,38999,₹42999,(9% off),No
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)",4.2,"6,226",2K+ bought in past month,26999,N/A,N/A,No
"OnePlus 12 (Flowy Emerald, 16GB RAM, 512GB Storage)",4.5,870,400+ bought in past month,66999,₹69999,(4% off),No
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)",4.2,"6,226",2K+ bought in past month,26999,N/A,N/A,No
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 256GB Storage)",4.1,"3,414",500+ bought in past month,22999,₹23999,(4% off),No
"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 256GB Storage)",4.2,"1,694",1K+ bought in past month,32999,N/A,N/A,No
