Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",4.3,"3,537",1K+ bought in past month,40999.0,₹45999,(11% off),No
"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 128GB Storage)",4.2,"1,694",500+ bought in past month,29999.0,,,No
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",4.1,"3,411",5K+ bought in past month,19999.0,₹20999,(5% off),No
"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",4.2,"5,407",5K+ bought in past month,16999.0,₹26999,(37% off),No
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",4.1,"3,411",4K+ bought in past month,19999.0,₹20999,(5% off),No
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",4.2,"59,076",1K+ bought in past month,15999.0,₹19999,(20% off),No
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",4.2,"59,076",2K+ bought in past month,15899.0,₹19999,(21% off),No
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 128GB Storage)",4.2,"6,226",2K+ bought in past month,24999.0,,,No
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)",4.2,"6,226",2K+ bought in past month,22999.0,₹24999,(8% off),No
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)",4.1,"3,411",2K+ bought in past month,19999.0,₹20999,(5% off),No
"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"5,176",300+ bought in past month,20499.0,₹27499,(25% off),No
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,8GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update",3.9,936,500+ bought in past month,13499.0,₹17999,(25% off),No
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)",4.2,"1,694",1K+ bought in past month,32999.0,,,No
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)",4.2,"6,226",2K+ bought in past month,26999.0,,,No
"OnePlus 12R (Sunset Dune, 8GB RAM, 256GB Storage)",4.3,"3,537",500+ bought in past month,38999.0,₹42999,(9% off),No
"OnePlus 12 (Flowy Emerald, 16GB RAM, 512GB Storage)",4.5,870,500+ bought in past month,66999.0,₹69999,(4% off),No
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)",4.2,"6,226",2K+ bought in past month,26999.0,,,No
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 256GB Storage)",4.1,"3,411",500+ bought in past month,22999.0,₹23999,(4% off),No
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 256GB Storage)",4.1,"3,411",500+ bought in past month,,,,No
