Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,673",2K+ bought in past month,74990,₹149999,(50% off),Yes
"realme GT 7 Pro (Mars Orange,12GB+256GB) | India's First Snapdragon 8 Elite Processor | RealWorld Eco² OLED Plus Display | 5800mAh Battery",N/A,N/A,50+ bought in past month,59999,₹69999,(14% off),Yes
"Redmi 13 5G, Hawaiian Blue, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3.9,"2,396",2K+ bought in past month,12578,₹17999,(30% off),Yes
"Xiaomi 14 CIVI (Matcha Green, 8GB RAM, 256GB Storage)",3.6,45,M.R.P:,38790,₹54999,(29% off),Yes
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,941,4K+ bought in past month,11999,₹16999,(29% off),Yes
"Redmi Note 13 5G (Arctic White, 12GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,919",400+ bought in past month,18999,₹24999,(24% off),Yes
"Xiaomi Hypercharge Type-C Braided Cable: Fast Charging for iPhone, Samsung, Phones, MacBook, Power Banks & TWS - 60W, 6A Data Transfer, Universal Compatibility!",4.3,85,300+ bought in past month,319,₹999,(68% off),Yes
"Xiaomi Mi A3 (More Than White, 4GB RAM, 64GB Storage)",4.1,"15,056",M.R.P:,9999,₹17499,(43% off),Yes
"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) Without Offer",3.9,931,50+ bought in past month,23432,₹33999,(31% off),Yes
"Xiaomi Selfie Stick with Micro USB Rechargeable Bluetooth Remote, Tripod Stand, Multifunctional Selfie Stick with Extendable Aluminium Monopod, 360 deg Rotation Phone Holder, Adjustable Grip (Black)",4.1,"2,232",200+ bought in past month,1499,N/A,N/A,Yes
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | Free 33W Charger in Box",N/A,N/A,5K+ bought in past month,9499,₹11999,(21% off),Yes
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,919",1K+ bought in past month,15999,₹20999,(24% off),Yes
"Redmi Note 13 5G (Stealth Black, 8GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,919",300+ bought in past month,17999,₹22999,(22% off),Yes
"Xiaomi Power Bank 4i 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Coral Purple|Supports Android and Apple, Tablets, Earbuds, Watches etc",4.2,"69,630",1K+ bought in past month,1199,₹2499,(52% off),Yes
"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 8GB RAM, 128GB Storage)|SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.1,"3,953",M.R.P:,24280,₹29999,(19% off),Yes
"Xiaomi 4 Lite Smart Air Purifier for Home, AQI Display, HEPA & Carbon Filter, trap 99.99% Virus Dust & Odor, Large coverage area up to 462 Sq ft, App Control, RoHS & Allergy Care Certified, Alexa & GA",4.1,620,3K+ bought in past month,9999,₹14999,(33% off),Yes
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Olive Green|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.3,"95,561",2K+ bought in past month,1999,₹3999,(50% off),Yes
"Xiaomi 14 CIVI (Cruise Blue, 8GB RAM, 256GB Storage)",3.6,45,M.R.P:,40999,₹54999,(25% off),Yes
Xiaomi Pad 6 Keyboard,4.3,135,200+ bought in past month,3499,₹7999,(56% off),Yes
"Xiaomi Pocket Power Bank pro 10000mAh 33W Super Fast Charging PD|Compact|Power Delivery|QC 3.0|Type C Input & Output|Triple Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches etc (MI)",4.3,"22,890",1K+ bought in past month,1799,₹3299,(45% off),Yes
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"5,180",1K+ bought in past month,15999,₹24499,(35% off),Yes
