Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,673",2K+ bought in past month,74990,₹149999,(50% off),No
"realme GT 7 Pro (Mars Orange,12GB+256GB) | India's First Snapdragon 8 Elite Processor | RealWorld Eco² OLED Plus Display | 5800mAh Battery",N/A,N/A,50+ bought in past month,59999,₹69999,(14% off),No
Xiaomi Robot Vacuum Cleaner X10|Auto Cleaning with 60 Days Hands Free Cleaning|Powerful Suction|Advanced Laser sensors|240 min Run Time|Vacuum & Mopping|Free 1 Yr + 1 Yr Extended Warranty|2024 Launch,3.9,112,200+ bought in past month,24999,₹59999,(58% off),No
"Xiaomi Smart Air Fryer for 4-5 People | 90% Less Fat l 1500W Fast Cooking | 7 Pre-set Menus | Grill, Bake, Fry, Roast, Reheat, Defrost | 40-200°C l Dual Speed Technology | Voice Control | 90+ Recipe",4.3,617,100+ bought in past month,5590,₹14999,(63% off),No
"Xiaomi Pad 6| Qualcomm Snapdragon 870| Powered by HyperOS |144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm) Tablet| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Mist Blue",4.4,"1,582",400+ bought in past month,25999,₹41999,(38% off),No
"Xiaomi Smart Air Purifier 4, Negative Air Ionizer, True HEPA, trap 99.99% Virus, Large coverage up to 516 Sq Ft, Fast Purification in 7 Mins, RoHS & Allergy Care Certified, Wi-Fi App Control, Alexa&GA",4.3,"4,200",3K+ bought in past month,14999,₹19999,(25% off),No
"Xiaomi 14 CIVI (Shadow Black, 12GB RAM, 512GB Storage)",3.6,45,M.R.P:,45850,₹59999,(24% off),No
"Redmi Note 13 Pro+ (Fusion Purple, 8GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.9,931,400+ bought in past month,27999,₹33999,(18% off),No
"Xiaomi Pocket Power Bank 10000mAh 22.5W Fast Charging|Inbuilt Cable|Slim & Compact|Power Delivery|QC 3.0|Type-C Input & Output|3 Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches",4.2,143,300+ bought in past month,1599,₹2999,(47% off),No
"Xiaomi Power Bank 4i 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android and Apple, Tablets, Earbuds, Watches etc",4.2,"69,630",3K+ bought in past month,1199,₹2499,(52% off),No
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,919",1K+ bought in past month,15999,₹20999,(24% off),No
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"5,180",1K+ bought in past month,15999,₹24499,(35% off),No
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Blue|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.3,"95,561",4K+ bought in past month,1999,₹3999,(50% off),No
"Redmi Note 13 Pro (Midnight Black, 8GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,516",50+ bought in past month,24999,₹30999,(19% off),No
"Xiaomi 12 Pro | 5G (Couture Blue, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50+50+50MP Flagship Cameras (OIS) | 10bit 2K+ Curved AMOLED Display | Sound by Harman Kardon",3.9,"4,003",M.R.P:,39990,₹79999,(50% off),No
"Mi Xiaomi 33W Fast Charging Cable USB C Quick Charge 4.0 Soniccharge Cord Compatible withMi, Redmi, iPhone 15 Pro Samsung Galaxy Android Phone Laptop PD Charger Cable (White)",4.3,"1,000",3K+ bought in past month,219,₹699,(69% off),No
Redmi Note 13 pro 5g Scarlet red 8gb 256gb,4.1,57,500+ bought in past month,20499,₹30999,(34% off),No
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 8GB RAM, 128GB Storage) |SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.0,"2,563",M.R.P:,21499,₹49999,(57% off),No
"Redmi LCD Writing Pad with Stylus, 21.6cm(8.5inch), Smart Lock to Save Content, ABS Material, Anti-Blue Light Screen, Eco Friendly, Handwriting Gifts for Kids & Adults, Drawing Tablet, Playing Black",4.1,"1,173",400+ bought in past month,426.,₹1999,(79% off),No
"Redmi 13 5G, Hawaiian Blue, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3.9,"2,396",2K+ bought in past month,12578,₹17999,(30% off),No
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | Free 33W Charger in Box",N/A,N/A,5K+ bought in past month,9499,₹11999,(21% off),No
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,978,5K+ bought in past month,6499,₹9999,(35% off),No
